"GO.ID";"GO.colors";"GO.Terms.GOID";"GO.Terms.TERM";"Term";"Annotated";"Significant";"Expected";"classicFisher";"GO.IC"
"GO:0003230";"brown";"GO:0003230";"cardiac atrium development";"cardiac atrium development";23;2;0,3;0,03614;7,93566405016892
"GO:0003231";"brown";"GO:0003231";"cardiac ventricle development";"cardiac ventricle development";57;3;0,75;0,03865;6,86114931307987
"GO:0003283";"brown";"GO:0003283";"atrial septum development";"atrial septum development";18;2;0,24;0,0228;8,17682610698581
"GO:0003344";"brown";"GO:0003344";"pericardium morphogenesis";"pericardium morphogenesis";6;2;0,08;0,00248;9,47610909111607
"GO:0005975";"black";"GO:0005975";"carbohydrate metabolic process";"carbohydrate metabolic process";263;8;3,45;0,02211;5,38176452889397
"GO:0005976";"black";"GO:0005976";"polysaccharide metabolic process";"polysaccharide metabolic process";58;3;0,76;0,04038;6,99120244132807
"GO:0006073";"black";"GO:0006073";"cellular glucan metabolic process";"cellular glucan metabolic process";37;3;0,49;0,01238;7,41772095863407
"GO:0006091";"yellow";"GO:0006091";"generation of precursor metabolites and energy";"generation of precursor metabolites and ...";242;7;3,18;0,03974;5,67315718074229
"GO:0006098";"yellow";"GO:0006098";"pentose-phosphate shunt";"pentose-phosphate shunt";10;3;0,13;0,00025;8,96528346735008
"GO:0006555";"turquoise";"GO:0006555";"methionine metabolic process";"methionine metabolic process";10;2;0,13;0,00718;8,96528346735008
"GO:0006568";"turquoise";"GO:0006568";"tryptophan metabolic process";"tryptophan metabolic process";16;2;0,21;0,01819;8,37749680244796
"GO:0006575";"turquoise";"GO:0006575";"cellular modified amino acid metabolic process";"cellular modified amino acid metabolic p...";87;4;1,14;0,02727;6,70352036887629
"GO:0006576";"turquoise";"GO:0006576";"cellular biogenic amine metabolic process";"cellular biogenic amine metabolic proces...";58;6;0,76;1e-04;6,96380346713996
"GO:0006584";"turquoise";"GO:0006584";"catecholamine metabolic process";"catecholamine metabolic process";24;2;0,32;0,03909;7,93566405016892
"GO:0006586";"turquoise";"GO:0006586";"indolalkylamine metabolic process";"indolalkylamine metabolic process";16;2;0,21;0,01819;8,37749680244796
"GO:0006590";"turquoise";"GO:0006590";"thyroid hormone generation";"thyroid hormone generation";8;3;0,11;0,00012;9,18842701866429
"GO:0006665";"turquoise";"GO:0006665";"sphingolipid metabolic process";"sphingolipid metabolic process";95;4;1,25;0,03605;6,31910866996596
"GO:0006739";"yellow";"GO:0006739";"NADP metabolic process";"NADP metabolic process";22;3;0,29;0,00283;8,13237434441498
"GO:0006740";"yellow";"GO:0006740";"NADPH regeneration";"NADPH regeneration";10;3;0,13;0,00025;8,96528346735008
"GO:0006766";"yellow";"GO:0006766";"vitamin metabolic process";"vitamin metabolic process";89;4;1,17;0,02933;6,59503972588222
"GO:0006790";"yellow";"GO:0006790";"sulfur compound metabolic process";"sulfur compound metabolic process";219;7;2,88;0,02493;5,59111475807585
"GO:0007498";"brown";"GO:0007498";"mesoderm development";"mesoderm development";97;4;1,27;0,03847;6,55833835903179
